id,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,bus_type,v_a,v_b,name,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,0.0,0.0,0.0,0.0,0.0,0.0,SWING,1.05,1.05,sourcebus,1.05,66395.28095680696,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.6965308,-119.0696656
2,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv115_hsb1,1.0,66395.28095680696,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.6960952,-119.0701878
3,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv115_hsb2,1.0,66395.28095680696,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.6956596,-119.07071
4,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,regxfmr_hvmv69sub1_lsb1,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.695224,-119.0712322
5,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69sub1_lsb2,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.69478842,-119.0717544
6,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_1,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.69391722,-119.07071
7,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_2,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.6804138,-119.0691435
8,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_3,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.6717019,-119.0696656
9,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_4,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.66734596,-119.0811537
10,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_5,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.66734596,-119.1072628
11,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_6,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.65427812,-119.1333719
12,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_7,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.64338826,-119.1594811
13,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_8,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.63685434,-119.1751466
14,0.0,0.0,0.0,0.0,0.0,0.0,PQ,1.0,1.0,hvmv69s1s2_9,1.0,39837.16857408418,1000000.0,0.95,1.05,0,0,abc,False,False,False,46.62901364,-119.190812
