id,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,name,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,phases,has_gen,has_load,has_cap,latitude,longitude
1,0.0,0.0,0.0,0.0,0.0,0.0,sourcebus,SWING,1.05,1.05,1.05,66395.28095680696,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1693780.0
2,0.0,0.0,0.0,0.0,0.0,0.0,hvmv_sub_hsb,PQ,1.0,1.0,1.0,66395.28095680696,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1693810.0
3,0.0,0.0,0.0,0.0,0.0,0.0,regxfmr_hvmv_sub_lsb,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1693840.0
4,0.0,0.0,0.0,0.0,0.0,0.0,_hvmv_sub_lsb,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1693852.0
5,0.0,0.0,0.0,0.0,0.0,0.0,hvmv_sub_48332,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1693886.0
6,0.0,0.0,0.0,0.0,0.0,0.0,d5710794-3_int,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277578.7570982,1693954.03005109
7,0.0,0.0,0.0,0.0,0.0,0.0,e192860,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1693954.03005109
8,0.0,0.0,0.0,0.0,0.0,0.0,m1209817,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277577.7570982,1694018.31267515
9,0.0,0.0,0.0,0.0,0.0,0.0,l2801909,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277496.0009381,1694004.90237114
10,0.0,0.0,0.0,0.0,0.0,0.0,x2801909c,PQ,1.0,1.0,1.0,120.08885599144216,1000000.0,0.95,1.05,0,0,ab,False,False,False,12277496.001,1694009.9024
11,0.003660088872102339,0.0009173047385820875,0.00041030022269731566,0.00010283092888543663,0.0,0.0,sx2801909c,PQ,1.0,1.0,1.0,120.08885599144216,1000000.0,0.95,1.05,0,0,ab,False,True,False,12277536.001,1694049.9024
12,0.0,0.0,0.0,0.0,0.0,0.0,m1209814,PQ,1.0,1.0,1.0,7199.557856794634,1000000.0,0.95,1.05,0,0,abc,False,False,False,12277271.7244579,1693968.1202911
